"DOCKEY","DOCNO","DOCTYPE","DOCDATE","POSTDATE","TAXDATE","DESCRIPTION","DESCRIPTION2","PAYMENTMETHOD","AREA","AGENT","PROJECT","JOURNAL","CHEQUENUMBER","CURRENCYCODE","CURRENCYRATE","BANKCHARGE","BANKCHARGEACCOUNT","DOCAMT","LOCALDOCAMT","FROMDOCTYPE","BOUNCEDDATE","GLTRANSID","CANCELLED","DEPOSITKEY","UPDATECOUNT","PRINTCOUNT","ATTACHMENTS","NOTE"
14028,CS-02404,OR,2015-04-01,2015-04-01,2015-04-01,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,210.40,210.40,PM,,9479,F,,,0,,
14031,PV-00982,PV,2015-03-31,2015-03-31,2015-03-31,LEE CHEE WAH,,"310-000",KL,NAI,----,BANK,PBB-278771,----,1.00000000,0.00,,499.48,499.48,,,9481,F,,,1,,
14042,CS-02405,OR,2015-04-01,2015-04-01,2015-04-01,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,2.90,2.90,PM,,9482,F,,,0,,
14045,CS-02406,OR,2015-04-01,2015-04-01,2015-04-01,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,30.00,30.00,PM,,9484,F,,,0,,
14048,CS-02407,OR,2015-04-01,2015-04-01,2015-04-01,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,4.10,4.10,PM,,9486,F,,,0,,
14051,CS-02408,OR,2015-04-01,2015-04-01,2015-04-01,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,30.00,30.00,PM,,9488,F,,,0,,
14054,CS-02409,OR,2015-04-01,2015-04-01,2015-04-01,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,24.00,24.00,PM,,9490,F,,,0,,
14057,CS-02410,OR,2015-04-01,2015-04-01,2015-04-01,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,50.00,50.00,PM,,9492,F,,,0,,
14060,CS-02411,OR,2015-04-01,2015-04-01,2015-04-01,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,40.00,40.00,PM,,9494,F,,,0,,
14063,CS-02412,OR,2015-04-01,2015-04-01,2015-04-01,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,30.00,30.00,PM,,9496,F,,,0,,
14066,CS-02413,OR,2015-04-01,2015-04-01,2015-04-01,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,1240.00,1240.00,PM,,9498,F,,,0,,
14069,CS-02414,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,477.00,477.00,PM,,9500,F,,,0,,
14072,CS-02415,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,60.00,60.00,PM,,9502,F,,,0,,
14075,CS-02416,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,33.00,33.00,PM,,9504,F,,,0,,
14078,CS-02417,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,28.00,28.00,PM,,9506,F,,,0,,
14081,CS-02418,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,7.00,7.00,PM,,9509,F,,,0,,
14084,CS-02419,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,45.00,45.00,PM,,9511,F,,,0,,
14087,CS-02420,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,55.00,55.00,PM,,9513,F,,,0,,
14090,CS-02421,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,2.00,2.00,PM,,9515,F,,,0,,
14093,CS-02422,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,22.00,22.00,PM,,9517,F,,,0,,
14096,PV-00983,PV,2015-03-31,2015-03-31,2015-03-31,NAI CHEW WEE,,"310-000",KL,NAI,----,BANK,PBB-278773,----,1.00000000,0.00,,3445.28,3445.28,,,9519,F,,,1,,
14129,CS-02423,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,164.00,164.00,PM,,9520,F,,,0,,
14132,CS-02424,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,8.00,8.00,PM,,9522,F,,,0,,
14135,CS-02425,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,24.00,24.00,PM,,9524,F,,,0,,
14139,CS-02426,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,0.60,0.60,PM,,9526,F,,,0,,
14142,CS-02427,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,8.00,8.00,PM,,9529,F,,,0,,
14145,CS-02428,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,18.00,18.00,PM,,9531,F,,,0,,
14148,CS-02429,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,9.00,9.00,PM,,9533,F,,,0,,
14151,CS-02430,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,245.00,245.00,PM,,9535,F,,,0,,
14154,CS-02431,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,----,----,CASH,"",----,1.00000000,0.00,,30.00,30.00,PM,,9538,F,,,0,,
14157,CS-02432,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,75.00,75.00,PM,,9540,F,,,0,,
14160,CS-02433,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,2.00,2.00,PM,,9542,F,,,0,,
14163,CS-02434,OR,2015-04-02,2015-04-02,2015-04-02,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,160.00,160.00,PM,,9544,F,,,0,,
14166,CS-02435,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,73.00,73.00,PM,,9546,F,,,0,,
14169,CS-02436,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,5.00,5.00,PM,,9548,F,,,0,,
14172,CS-02437,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,150.00,150.00,PM,,9550,F,,,0,,
14175,CS-02438,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,5.00,5.00,PM,,9552,F,,,0,,
14178,CS-02439,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,12.00,12.00,PM,,9554,F,,,0,,
14181,CS-02440,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,30.00,30.00,PM,,9556,F,,,0,,
14184,CS-02441,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,3.00,3.00,PM,,9558,F,,,0,,
14187,CS-02442,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,66.00,66.00,PM,,9561,F,,,0,,
14190,CS-02443,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,165.00,165.00,PM,,9563,F,,,0,,
14193,PV-00984,PV,2015-04-03,2015-04-03,2015-04-03,PUBLIC BANK BERHAD,,"310-000",KL,NAI,----,BANK,CASH,----,1.00000000,0.00,,3513.70,3513.70,,,9565,F,,,1,,
14218,PV-00985,PV,2015-04-03,2015-04-03,2015-04-03,PUBLIC BANK BERHAD,,"310-000",KL,NAI,----,BANK,CASH,----,1.00000000,0.00,,1661.40,1661.40,,,9566,F,,,1,,
14229,PV-00986,PV,2015-04-03,2015-04-03,2015-04-03,PUBLIC BANK BERHAD,,"310-000",KL,NAI,----,BANK,CASH,----,1.00000000,0.00,,1472.60,1472.60,,,9567,F,,,1,,
14251,CS-02444,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,3.00,3.00,PM,,9568,F,,,0,,
14254,CS-02445,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,150.00,150.00,PM,,9570,F,,,0,,
14257,CS-02446,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,75.00,75.00,PM,,9572,F,,,0,,
14260,CS-02447,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,49.20,49.20,PM,,9574,F,,,0,,
14263,CS-02448,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"4506-1800-3664-6082",----,1.00000000,0.00,,280.00,280.00,PM,,9577,F,,,0,,
14266,CS-02449,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,14.00,14.00,PM,,9579,F,,,0,,
14269,CS-02450,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,22.00,22.00,PM,,9581,F,,,0,,
14272,CS-02451,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,245.00,245.00,PM,,9583,F,,,0,,
14275,CS-02452,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,6.00,6.00,PM,,9585,F,,,0,,
14278,CS-02453,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,12.00,12.00,PM,,9587,F,,,0,,
14281,CS-02454,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,5.00,5.00,PM,,9589,F,,,0,,
14284,CS-02455,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,8.00,8.00,PM,,9592,F,,,0,,
14287,CS-02456,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,150.00,150.00,PM,,9598,F,,,0,,
14290,CS-02457,OR,2015-04-03,2015-04-03,2015-04-03,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,18.00,18.00,PM,,9600,F,,,0,,
14293,CS-02458,OR,2015-04-04,2015-04-04,2015-04-04,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,1.60,1.60,PM,,9604,F,,,0,,
14296,CS-02459,OR,2015-04-04,2015-04-04,2015-04-04,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,5.00,5.00,PM,,9606,F,,,0,,
14299,CS-02460,OR,2015-04-04,2015-04-04,2015-04-04,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,23.00,23.00,PM,,9610,F,,,0,,
14302,CS-02461,OR,2015-04-04,2015-04-04,2015-04-04,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,10.00,10.00,PM,,9612,F,,,0,,
14305,CS-02462,OR,2015-04-04,2015-04-04,2015-04-04,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,570.00,570.00,PM,,9614,F,,,0,,
14308,CS-02463,OR,2015-04-04,2015-04-04,2015-04-04,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,12.00,12.00,PM,,9616,F,,,0,,
14311,CS-02464,OR,2015-04-04,2015-04-04,2015-04-04,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,100.00,100.00,PM,,9618,F,,,0,,
14314,CS-02465,OR,2015-04-04,2015-04-04,2015-04-04,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,16.20,16.20,PM,,9620,F,,,0,,
14317,CS-02466,OR,2015-04-04,2015-04-04,2015-04-04,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,5.00,5.00,PM,,9622,F,,,0,,
14320,CS-02467,OR,2015-04-04,2015-04-04,2015-04-04,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,97.00,97.00,PM,,9624,F,,,0,,
14323,CS-02468,OR,2015-04-04,2015-04-04,2015-04-04,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,10.00,10.00,PM,,9626,F,,,0,,
14326,CS-02469,OR,2015-04-04,2015-04-04,2015-04-04,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,58.00,58.00,PM,,9628,F,,,0,,
14329,CS-02470,OR,2015-04-04,2015-04-04,2015-04-04,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,20.00,20.00,PM,,9630,F,,,0,,
14332,CS-02471,OR,2015-04-04,2015-04-04,2015-04-04,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,20.00,20.00,PM,,9632,F,,,0,,
14335,CS-02472,OR,2015-04-04,2015-04-04,2015-04-04,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,4.00,4.00,PM,,9634,F,,,0,,
14338,CS-02473,OR,2015-04-04,2015-04-04,2015-04-04,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,4.00,4.00,PM,,9636,F,,,0,,
14341,CS-02474,OR,2015-04-05,2015-04-05,2015-04-05,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,6.00,6.00,PM,,9638,F,,,0,,
14344,CS-02475,OR,2015-04-05,2015-04-05,2015-04-05,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,8.00,8.00,PM,,9640,F,,,0,,
14347,CS-02476,OR,2015-04-05,2015-04-05,2015-04-05,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,31.00,31.00,PM,,9642,F,,,0,,
14350,CS-02477,OR,2015-04-05,2015-04-05,2015-04-05,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,4.00,4.00,PM,,9644,F,,,0,,
14353,CS-02478,OR,2015-04-05,2015-04-05,2015-04-05,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,10.00,10.00,PM,,9646,F,,,0,,
14356,CS-02479,OR,2015-04-05,2015-04-05,2015-04-05,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,18.00,18.00,PM,,9648,F,,,0,,
14359,CS-02480,OR,2015-04-06,2015-04-06,2015-04-06,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,18.00,18.00,PM,,9651,F,,,0,,
14362,CS-02481,OR,2015-04-06,2015-04-06,2015-04-06,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,4.00,4.00,PM,,9653,F,,,0,,
14365,CS-02482,OR,2015-04-06,2015-04-06,2015-04-06,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,14.00,14.00,PM,,9655,F,,,0,,
14368,CS-02483,OR,2015-04-06,2015-04-06,2015-04-06,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,15.00,15.00,PM,,9657,F,,,0,,
14371,CS-02484,OR,2015-04-06,2015-04-06,2015-04-06,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,500.00,500.00,PM,,9659,F,,,0,,
14374,CS-02485,OR,2015-04-06,2015-04-06,2015-04-06,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,11.00,11.00,PM,,9661,F,,,0,,
14377,CS-02486,OR,2015-04-06,2015-04-06,2015-04-06,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,15.00,15.00,PM,,9663,F,,,0,,
14380,CS-02487,OR,2015-04-06,2015-04-06,2015-04-06,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,4.00,4.00,PM,,9666,F,,,0,,
14383,CS-02488,OR,2015-04-06,2015-04-06,2015-04-06,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,150.00,150.00,PM,,9668,F,,,0,,
14386,CS-02489,OR,2015-04-06,2015-04-06,2015-04-06,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,19.80,19.80,PM,,9670,F,,,0,,
14389,CS-02490,OR,2015-04-06,2015-04-06,2015-04-06,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,5.00,5.00,PM,,9672,F,,,0,,
14392,CS-02491,OR,2015-04-06,2015-04-06,2015-04-06,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,70.00,70.00,PM,,9674,F,,,0,,
14395,CS-02492,OR,2015-04-06,2015-04-06,2015-04-06,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,140.00,140.00,PM,,9676,F,,,0,,
14398,CS-02493,OR,2015-04-06,2015-04-06,2015-04-06,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,6.80,6.80,PM,,9678,F,,,0,,
14401,CS-02494,OR,2015-04-06,2015-04-06,2015-04-06,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,1.00,1.00,PM,,9680,F,,,0,,
14404,CS-02495,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,50.00,50.00,PM,,9682,F,,,0,,
14407,CS-02496,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"4553-5703-8969-3107",----,1.00000000,0.00,,220.00,220.00,PM,,9685,F,,,0,,
14410,CS-02497,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,37.50,37.50,PM,,9687,F,,,0,,
14413,CS-02498,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,12.00,12.00,PM,,9689,F,,,0,,
14416,CS-02499,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,6.00,6.00,PM,,9692,F,,,0,,
14419,CS-02500,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,5.00,5.00,PM,,9694,F,,,0,,
14422,CS-02501,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,43.00,43.00,PM,,9696,F,,,0,,
14425,CS-02502,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,8.00,8.00,PM,,9698,F,,,0,,
14428,CS-02503,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"310-000",----,HON,----,BANK,"5521 1540 0065 6748",----,1.00000000,0.00,,550.00,550.00,PM,,9700,F,,,0,,
14431,CS-02504,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,20.00,20.00,PM,,9702,F,,,0,,
14434,CS-02505,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,43.00,43.00,PM,,9704,F,,,0,,
14437,CS-02506,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,10.00,10.00,PM,,9706,F,,,0,,
14440,CS-02507,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,36.00,36.00,PM,,9708,F,,,0,,
14443,CS-02508,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,16.00,16.00,PM,,9710,F,,,0,,
14446,CS-02509,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,10.00,10.00,PM,,9712,F,,,0,,
14449,PV-00987,PV,2015-04-07,2015-04-07,2015-04-07,YUN LOONG GLOBAL INDUSTRIES SDN BHD.,Payment For Account,"310-000",SLG,NAI,----,BANK,PBB-278775,----,1.00000000,0.00,,424.00,424.00,SP,,9717,F,,,1,,
14451,CS-02510,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,16.00,16.00,PM,,9718,F,,,0,,
14454,CS-02511,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,8.00,8.00,PM,,9720,F,,,0,,
14457,CS-02512,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,47.50,47.50,PM,,9722,F,,,0,,
14460,CS-02513,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,270.00,270.00,PM,,9724,F,,,0,,
14463,CS-02514,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,2.00,2.00,PM,,9726,F,,,0,,
14466,CS-02515,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,50.00,50.00,PM,,9729,F,,,0,,
14469,CS-02516,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,940.00,940.00,PM,,9731,F,,,0,,
14472,CS-02517,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,72.00,72.00,PM,,9733,F,,,0,,
14475,CS-02518,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,160.00,160.00,PM,,9735,F,,,0,,
14478,CS-02519,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,50.00,50.00,PM,,9737,F,,,0,,
14481,CS-02520,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,8.00,8.00,PM,,9739,F,,,0,,
14484,CS-02521,OR,2015-04-07,2015-04-07,2015-04-07,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,50.00,50.00,PM,,9742,F,,,0,,
14487,CS-02522,OR,2015-04-08,2015-04-08,2015-04-08,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,6.80,6.80,PM,,9744,F,,,0,,
14490,PV-00988,PV,2015-04-08,2015-04-08,2015-04-08,PUBLIC BANK BERHAD,,"310-000",KL,NAI,----,BANK,CASH,----,1.00000000,0.00,,1266.20,1266.20,,,9747,F,,,1,,
14513,CS-02523,OR,2015-04-08,2015-04-08,2015-04-08,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,84.00,84.00,PM,,9748,F,,,0,,
14516,CS-02524,OR,2015-04-08,2015-04-08,2015-04-08,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,8.00,8.00,PM,,9750,F,,,0,,
14519,CS-02525,OR,2015-04-08,2015-04-08,2015-04-08,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,33.00,33.00,PM,,9752,F,,,0,,
14522,PV-00989,PV,2015-04-08,2015-04-08,2015-04-08,PUBLIC BANK BERHAD,,"310-000",KL,NAI,----,BANK,CASH,----,1.00000000,0.00,,955.80,955.80,,,9754,F,,,1,,
14539,PV-00990,PV,2015-04-08,2015-04-08,2015-04-08,PUBLIC BANK BERHAD,,"310-000",KL,NAI,----,BANK,CASH,----,1.00000000,0.00,,77.00,77.00,,,9755,F,,,1,,
14546,PV-00991,PV,2015-04-08,2015-04-08,2015-04-08,PUBLIC BANK BERHAD,,"310-000",KL,NAI,----,BANK,CASH,----,1.00000000,0.00,,973.60,973.60,,,9756,F,,,1,,
14562,CS-02526,OR,2015-04-08,2015-04-08,2015-04-08,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,107.00,107.00,PM,,9757,F,,,0,,
14565,PV-00992,PV,2015-04-08,2015-04-08,2015-04-08,PUBLIC BANK BERHAD,,"310-000",KL,NAI,----,BANK,CASH,----,1.00000000,0.00,,1970.00,1970.00,,,9759,F,,,1,,
14591,CS-02527,OR,2015-04-08,2015-04-08,2015-04-08,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,10.00,10.00,PM,,9760,F,,,0,,
14594,CS-02528,OR,2015-04-08,2015-04-08,2015-04-08,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,3.00,3.00,PM,,9762,F,,,0,,
14597,CS-02529,OR,2015-04-08,2015-04-08,2015-04-08,CASH,Payment For Account,"320-000",----,HON,----,CASH,"",----,1.00000000,0.00,,15.00,15.00,PM,,9764,F,,,0,,
14600,CS-02530,OR,2015-04-08,2015-04-08,2015-04-08,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,750.00,750.00,PM,,9766,F,,,0,,
